canton,provincia,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020
Alajuela,Alajuela,9,12,13,15,18,22,25,26,28,35,36,45,46,53,55,55,58,61,61,62,65,66
Alajuelita,San José,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,4
Alvarado,Cartago,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Aserrí,San José,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3
Atenas,Alajuela,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Barva,Heredia,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,6,6,6
Belén,Heredia,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2
Carrillo,Guanacaste,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2
Cartago,Cartago,0,0,1,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,8,7,7
Coto Brus,Puntarenas,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Curridabat,San José,0,0,1,2,3,5,5,5,5,5,5,5,7,8,8,10,11,12,14,14,14,14
Desamparados,San José,4,4,4,4,4,5,4,4,5,5,7,8,12,11,13,13,15,17,18,19,21,21
El Guarco,Cartago,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,4,4,4,5,5,5
Escazú,San José,4,5,5,6,9,11,11,11,11,13,13,13,14,16,17,18,19,18,18,18,18,19
Esparza,Puntarenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Flores,Heredia,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Garabito,Puntarenas,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,7,7,7,7
Goicoechea,San José,0,0,0,1,1,1,0,0,7,7,8,8,9,10,10,10,11,10,11,10,11,11
Grecia,Alajuela,2,2,3,3,3,5,5,5,5,7,7,9,11,13,13,13,13,14,14,14,14,14
Heredia,Heredia,1,1,1,1,4,4,4,4,6,7,9,9,9,9,9,9,11,13,15,15,15,16
Hojancha,Guanacaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Jiménez,Cartago,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
La Unión,Cartago,1,1,1,2,2,2,5,5,6,6,6,6,6,7,7,8,9,9,10,10,10,10
Liberia,Guanacaste,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Limón,Limón,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montes de Oca,San José,0,0,0,0,0,2,3,3,3,3,5,5,5,8,8,8,8,9,9,9,9,9
Montes de Oro,Puntarenas,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
Mora,San José,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
Moravia,San José,0,0,0,1,1,3,4,5,6,6,6,6,7,8,8,8,8,9,10,10,11,11
Naranjo,Alajuela,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,4,4
Nicoya,Guanacaste,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4
Oreamuno,Cartago,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,4,4
Orotina,Alajuela,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,5,5,5,6
Osa,Puntarenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Palmares,Alajuela,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,5,6,6,7,7,8,10
Paraíso,Cartago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Poás,Alajuela,1,1,1,2,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7
Puntarenas,Puntarenas,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,3,3,3,4,4,4,4
Pérez Zeledón,San José,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
San Carlos,Alajuela,0,0,0,0,0,2,2,2,3,5,5,6,8,8,8,10,8,9,11,10,11,16
San Isidro,Heredia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
San José,San José,3,4,6,10,14,13,12,17,17,18,21,23,26,29,32,33,36,42,44,46,51,53
San Pablo,Heredia,1,1,1,1,3,3,3,4,4,4,4,4,5,5,7,8,9,9,9,10,12,12
San Rafael,Heredia,0,0,0,0,0,0,1,2,2,2,2,2,3,5,5,5,6,6,6,6,6,6
San Ramón,Alajuela,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,6,7
Santa Ana,San José,2,2,3,3,3,6,7,11,14,13,14,16,16,16,19,19,22,24,25,26,26,28
Santa Barbara,Heredia,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Santa Cruz,Guanacaste,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Santo Domingo,Heredia,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,5,5,5,5
Sarchí,Alajuela,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,3,3,3,4,4,4
Tarrazú,San José,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3
Tibás,San José,1,1,1,1,1,1,2,3,5,6,10,12,11,11,12,12,12,13,12,15,15,16
Tilarán,Guanacaste,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Turrubares,San José,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
Vázquez de Coronado,San José,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5
